"fullName",email,password,type
Vicerrectorado,vicerectorado@ucab.edu.ve,password,department
Dirección de Finanzas y Administración,finanzas.admin@ucab.edu.ve,password,department
Dirección de Servicios Generales,email3@gmail.com,password,department
Coordinación de Seguridad y Salud laboral,email4@gmail.com,password,department
Coordinación de Sustentabilidad Ambiental,email5@gmail.com,password,department
Coordinación de Comunicaciones,email6@gmail.com,password,department
Dirección de Extensión Social Universitaria,email7@gmail.com,password,department
CADH,email8@gmail.com,password,department
Escuela de Ingeniería Civil,email9@gmail.com,password,department
Escuela de Ingeniería Industrial,email10@gmail.com,password,department
Escuela de Ingeniería Informática,email11@gmail.com,password,department
Escuela de Comunicación Social,email12@gmail.com,password,department
Escuela Admininstración y Contaduría,email13@gmail.com,password,department
Escuela Relaciones Industriales,email14@gmail.com,password,department
Escuela de Derecho,email15@gmail.com,password,department
Escuela de Educación,email16@gmail.com,password,department
Coordinación de Cultura,email17@gmail.com,password,department
Coordinación de Internacionalización,email18@gmail.com,password,department
Dirección de Desarrollo Estudiantil,email19@gmail.com,password,department
Coordinación General de Recursos Humanos,email20@gmail.com,password,department
Coordinación General de Tecnología de la Información (CGTI),email21@gmail.com,password,department
Centro Estudios Regionales,email22@gmail.com,password,department
